# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
485632:[-2,-1,2,2,0,1]
345088:[-1,-1,2,2,0,1]
83712:[-1,0,2,2,0,1]
50176:[-1,1,2,2,0,1]
696576:[0,-1,2,2,0,1]
23296:[0,0,2,2,0,1]
659200:[0,1,2,2,0,1]
196864:[1,0,2,2,0,1]
175104:[1,1,2,2,0,1]
704425:[-2,0,-2,-1,0,-2]
901353:[-1,-2,-2,-1,0,-2]
959689:[-1,-1,-2,-1,0,-2]
849513:[1,2,-2,-1,0,-2]
307456:[-2,0,-2,0,0,-2]
921856:[1,0,-2,0,0,-2]
880896:[1,1,-2,0,0,-2]
623929:[-2,0,-2,1,0,-2]
746553:[-1,0,-2,1,0,-2]
897337:[0,0,-2,1,0,-2]
171577:[1,0,-2,1,0,-2]
258304:[-2,0,-2,2,0,-2]
442624:[-1,0,-2,2,0,-2]
168192:[0,0,-2,2,0,-2]
504777:[-2,-1,-1,-2,0,-2]
989641:[-1,-1,-1,-2,0,-2]
825097:[-1,0,-1,-2,0,-2]
278473:[0,-1,-1,-2,0,-2]
477337:[-2,-1,-1,-1,0,-2]
566521:[-2,0,-1,-1,0,-2]
588601:[-1,-2,-1,-1,0,-2]
245401:[-1,-1,-1,-1,0,-2]
248313:[-1,0,-1,-1,0,-2]
53913:[0,-1,-1,-1,0,-2]
110329:[0,0,-1,-1,0,-2]
29017:[0,1,-1,-1,0,-2]
980473:[1,0,-1,-1,0,-2]
762681:[-2,-2,-1,0,0,-2]
281977:[-2,-1,-1,0,0,-2]
49081:[-2,0,-1,0,0,-2]
889:[-1,-1,-1,0,0,-2]
226233:[-1,0,-1,0,0,-2]
293241:[0,-1,-1,0,0,-2]
84409:[0,0,-1,0,0,-2]
474553:[1,0,-1,0,0,-2]
211449:[1,1,-1,0,0,-2]
105321:[-2,-1,-1,1,0,-2]
300361:[-2,0,-1,1,0,-2]
442729:[-1,-1,-1,1,0,-2]
385609:[-1,0,-1,1,0,-2]
685417:[0,-1,-1,1,0,-2]
454473:[0,0,-1,1,0,-2]
93769:[1,0,-1,1,0,-2]
495961:[-2,-1,-1,2,0,-2]
714649:[-2,0,-1,2,0,-2]
459225:[-2,1,-1,2,0,-2]
949593:[0,-1,-1,2,0,-2]
761689:[1,-1,-1,2,0,-2]
476569:[1,0,-1,2,0,-2]
186841:[2,1,-1,2,0,-2]
86272:[-2,-1,0,-2,0,-2]
626944:[-1,-1,0,-2,0,-2]
788736:[-1,0,0,-2,0,-2]
389376:[0,-1,0,-2,0,-2]
239872:[1,0,0,-2,0,-2]
56953:[-2,-1,0,-1,0,-2]
452569:[-2,0,0,-1,0,-2]
176761:[-1,-1,0,-1,0,-2]
3801:[-1,0,0,-1,0,-2]
521017:[-1,1,0,-1,0,-2]
75897:[0,-1,0,-1,0,-2]
87001:[0,0,0,-1,0,-2]
202969:[1,0,0,-1,0,-2]
196608:[-2,-1,0,0,0,-2]
262144:[-2,0,0,0,0,-2]
65536:[-1,-1,0,0,0,-2]
65536:[-1,0,0,0,0,-2]
65536:[0,-1,0,0,0,-2]
458752:[0,1,0,0,0,-2]
458752:[1,0,0,0,0,-2]
851968:[1,1,0,0,0,-2]
56953:[-2,-1,0,1,0,-2]
452569:[-2,0,0,1,0,-2]
176761:[-1,-1,0,1,0,-2]
3801:[-1,0,0,1,0,-2]
521017:[-1,1,0,1,0,-2]
75897:[0,-1,0,1,0,-2]
87001:[0,0,0,1,0,-2]
202969:[1,0,0,1,0,-2]
86272:[-2,-1,0,2,0,-2]
626944:[-1,-1,0,2,0,-2]
788736:[-1,0,0,2,0,-2]
389376:[0,-1,0,2,0,-2]
239872:[1,0,0,2,0,-2]
495961:[-2,-1,1,-2,0,-2]
714649:[-2,0,1,-2,0,-2]
459225:[-2,1,1,-2,0,-2]
949593:[0,-1,1,-2,0,-2]
761689:[1,-1,1,-2,0,-2]
476569:[1,0,1,-2,0,-2]
186841:[2,1,1,-2,0,-2]
105321:[-2,-1,1,-1,0,-2]
300361:[-2,0,1,-1,0,-2]
442729:[-1,-1,1,-1,0,-2]
385609:[-1,0,1,-1,0,-2]
685417:[0,-1,1,-1,0,-2]
454473:[0,0,1,-1,0,-2]
93769:[1,0,1,-1,0,-2]
762681:[-2,-2,1,0,0,-2]
281977:[-2,-1,1,0,0,-2]
49081:[-2,0,1,0,0,-2]
889:[-1,-1,1,0,0,-2]
226233:[-1,0,1,0,0,-2]
293241:[0,-1,1,0,0,-2]
84409:[0,0,1,0,0,-2]
474553:[1,0,1,0,0,-2]
211449:[1,1,1,0,0,-2]
477337:[-2,-1,1,1,0,-2]
566521:[-2,0,1,1,0,-2]
588601:[-1,-2,1,1,0,-2]
245401:[-1,-1,1,1,0,-2]
248313:[-1,0,1,1,0,-2]
53913:[0,-1,1,1,0,-2]
110329:[0,0,1,1,0,-2]
29017:[0,1,1,1,0,-2]
980473:[1,0,1,1,0,-2]
504777:[-2,-1,1,2,0,-2]
989641:[-1,-1,1,2,0,-2]
825097:[-1,0,1,2,0,-2]
278473:[0,-1,1,2,0,-2]
258304:[-2,0,2,-2,0,-2]
442624:[-1,0,2,-2,0,-2]
168192:[0,0,2,-2,0,-2]
623929:[-2,0,2,-1,0,-2]
746553:[-1,0,2,-1,0,-2]
897337:[0,0,2,-1,0,-2]
171577:[1,0,2,-1,0,-2]
307456:[-2,0,2,0,0,-2]
921856:[1,0,2,0,0,-2]
880896:[1,1,2,0,0,-2]
704425:[-2,0,2,1,0,-2]
901353:[-1,-2,2,1,0,-2]
959689:[-1,-1,2,1,0,-2]
849513:[1,2,2,1,0,-2]
