# Picard curves over Q(zeta_3):  y^3 = f(x),  f(x) = x^4 + (a2+b2*w)*x^2 + (a1+b1*w)*x + (a0+b0*w),  w = e^(2*pi*i/3)
# Output format:  N(disc(f)):[a0,b0,a1,b1,a2,b2]  where  N(disc(f)) = disc_re^2 - disc_re*disc_im + disc_im^2
513709:[1,0,-2,-1,-1,-1]
411357:[-2,-2,0,1,-1,-2]
174861:[1,1,-2,-1,-1,-1]
306813:[-1,-1,1,1,-2,-1]
711837:[-2,-1,0,1,-1,-2]
584329:[-2,-2,1,2,-2,-2]
193792:[0,0,-2,-2,-1,0]
641293:[-1,0,1,1,-2,-1]
136669:[-1,-1,0,1,-1,-2]
895113:[-1,-1,1,2,-2,-2]
533248:[0,1,-2,-2,-1,0]
265629:[-1,0,0,1,-1,-2]
421888:[1,0,-2,-2,-1,0]
297037:[0,-1,1,1,-2,-1]
596061:[-1,1,0,1,-1,-2]
709641:[0,-2,1,2,-2,-2]
120861:[0,-1,0,1,-1,-2]
560713:[0,-1,1,2,-2,-2]
503373:[2,1,-2,-1,-1,-1]
140544:[1,1,-2,-2,-1,0]
585472:[-1,-2,-2,0,-1,-1]
895113:[0,0,1,2,-2,-2]
540928:[2,1,-2,-2,-1,0]
355584:[-1,-1,-2,0,-1,-1]
23517:[0,0,1,1,-2,-1]
641097:[1,0,1,2,-2,-2]
470637:[0,1,1,1,-2,-1]
85725:[0,0,0,1,-1,-2]
432117:[-1,-1,-2,-1,-1,0]
150784:[-1,0,-2,0,-1,-1]
256669:[0,1,0,1,-1,-2]
33493:[-1,0,-2,-1,-1,0]
10269:[1,-1,1,1,-2,-1]
274432:[0,0,-2,0,-1,-1]
790153:[1,1,1,2,-2,-2]
914688:[0,1,-2,0,-1,-1]
499968:[-1,-1,2,-2,-2,-2]
13813:[0,-1,-2,-1,-1,0]
300829:[1,0,0,1,-1,-2]
56277:[0,0,-2,-1,-1,0]
18093:[1,0,1,1,-2,-1]
466176:[1,0,-2,0,-1,-1]
198837:[0,1,-2,-1,-1,0]
763869:[1,1,0,1,-1,-2]
611584:[1,1,-2,0,-1,-1]
774912:[-2,-2,0,2,-1,-2]
499968:[0,0,2,-2,-2,-2]
222208:[2,0,-2,0,-1,-1]
202813:[1,1,1,1,-2,-1]
332757:[1,0,-2,-1,-1,0]
755968:[-1,-1,0,2,-1,-2]
129117:[-1,-1,-2,1,-1,-1]
123136:[1,1,2,-2,-2,-2]
347904:[0,-1,0,2,-1,-2]
524725:[1,1,-2,-1,-1,0]
37309:[-1,0,-2,1,-1,-1]
227253:[2,1,-2,-1,-1,0]
154624:[1,0,0,2,-1,-2]
320509:[0,0,-2,1,-1,-1]
328573:[2,0,1,1,-2,-1]
622425:[-2,1,1,-2,-1,-2]
925561:[-1,-1,2,-1,-2,-2]
554233:[-1,-1,1,-2,-1,-2]
925561:[0,0,2,-1,-2,-2]
238336:[-1,-1,-2,0,-1,0]
110848:[-2,0,2,0,-2,-2]
178425:[1,-1,1,-2,-1,-2]
57600:[-1,0,-2,0,-1,0]
995584:[-1,-1,2,0,-2,-2]
108841:[1,0,1,-2,-1,-2]
845325:[2,1,1,1,-2,-1]
995584:[0,0,2,0,-2,-2]
